2024-04-23 22:55:58,62.68.246.45,10.40.50.21,598
2024-04-23 22:55:58,62.68.246.45,10.40.50.21,1222
2024-04-23 22:55:58,62.68.246.45,10.40.50.21,1228
2024-04-23 22:55:58,62.68.246.45,10.40.50.21,1228
2024-04-23 22:55:58,62.68.246.45,10.40.50.21,981
2024-04-23 22:55:58,10.40.50.21,62.68.246.45,63
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1220
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,10.40.50.21,173.194.18.70,65
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,10.40.50.21,173.194.18.70,65
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,10.40.50.21,173.194.18.70,65
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,10.40.50.21,173.194.18.70,65
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,10.40.50.21,173.194.18.70,65
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,10.40.50.21,173.194.18.70,65
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,78
2024-04-23 22:55:58,62.68.246.45,10.40.50.21,160
2024-04-23 22:55:58,62.68.246.45,10.40.50.21,1220
2024-04-23 22:55:58,62.68.246.45,10.40.50.21,197
2024-04-23 22:55:58,10.40.50.21,62.68.246.45,63
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1220
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1181
2024-04-23 22:55:58,10.40.50.21,173.194.18.70,65
2024-04-23 22:55:58,10.40.50.21,173.194.18.70,65
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1220
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,10.40.50.21,173.194.18.70,65
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,1228
2024-04-23 22:55:58,10.40.50.21,173.194.18.70,65
2024-04-23 22:55:58,173.194.18.70,10.40.50.21,440
2024-04-23 22:55:58,10.40.50.21,173.194.18.70,65
